187 3
marker chr position
D1M1 1 0
D1M2 1 9.76923076923077
D1M3 1 19.5384615384615
D1M4 1 29.3076923076923
D1M5 1 39.0769230769231
D1M6 1 48.8461538461539
D1M7 1 58.6153846153846
D1M8 1 68.3846153846154
D1M9 1 78.1538461538462
D1M10 1 87.9230769230769
D1M11 1 97.6923076923077
D1M12 1 107.461538461538
D1M13 1 117.230769230769
D1M14 1 127
D2M1 2 0
D2M2 2 10.3636363636364
D2M3 2 20.7272727272727
D2M4 2 31.0909090909091
D2M5 2 41.4545454545455
D2M6 2 51.8181818181818
D2M7 2 62.1818181818182
D2M8 2 72.5454545454545
D2M9 2 82.9090909090909
D2M10 2 93.2727272727273
D2M11 2 103.636363636364
D2M12 2 114
D3M1 3 0
D3M2 3 9.93333333333333
D3M3 3 19.8666666666667
D3M4 3 29.8
D3M5 3 39.7333333333333
D3M6 3 49.6666666666667
D3M7 3 59.6
D3M8 3 69.5333333333333
D3M9 3 79.4666666666667
D3M10 3 89.4
D3M11 3 99.3333333333333
D3M12 3 109.266666666667
D3M13 3 119.2
D4M1 4 0
D4M2 4 10.5
D4M3 4 21
D4M4 4 31.5
D4M5 4 42
D4M6 4 52.5
D4M7 4 63
D4M8 4 73.5
D4M9 4 84
D5M1 5 0
D5M2 5 10.2222222222222
D5M3 5 20.4444444444444
D5M4 5 30.6666666666667
D5M5 5 40.8888888888889
D5M6 5 51.1111111111111
D5M7 5 61.3333333333333
D5M8 5 71.5555555555555
D5M9 5 81.7777777777778
D5M10 5 92
D6M1 6 0
D6M2 6 9.375
D6M3 6 18.75
D6M4 6 28.125
D6M5 6 37.5
D6M6 6 46.875
D6M7 6 56.25
D6M8 6 65.625
D6M9 6 75
D7M1 7 0
D7M2 7 10.5714285714286
D7M3 7 21.1428571428571
D7M4 7 31.7142857142857
D7M5 7 42.2857142857143
D7M6 7 52.8571428571429
D7M7 7 63.4285714285714
D7M8 7 74
D8M1 8 0
D8M2 8 10.25
D8M3 8 20.5
D8M4 8 30.75
D8M5 8 41
D8M6 8 51.25
D8M7 8 61.5
D8M8 8 71.75
D8M9 8 82
D9M1 9 0
D9M2 9 9.875
D9M3 9 19.75
D9M4 9 29.625
D9M5 9 39.5
D9M6 9 49.375
D9M7 9 59.25
D9M8 9 69.125
D9M9 9 79
D10M1 10 0
D10M2 10 9.625
D10M3 10 19.25
D10M4 10 28.875
D10M5 10 38.5
D10M6 10 48.125
D10M7 10 57.75
D10M8 10 67.375
D10M9 10 77
D11M1 11 0
D11M2 11 10
D11M3 11 20
D11M4 11 30
D11M5 11 40
D11M6 11 50
D11M7 11 60
D11M8 11 70
D11M9 11 80
D12M1 12 0
D12M2 12 9.42857142857143
D12M3 12 18.8571428571429
D12M4 12 28.2857142857143
D12M5 12 37.7142857142857
D12M6 12 47.1428571428571
D12M7 12 56.5714285714286
D12M8 12 66
D13M1 13 0
D13M2 13 10
D13M3 13 20
D13M4 13 30
D13M5 13 40
D13M6 13 50
D13M7 13 60
D13M8 13 70
D13M9 13 80
D14M1 14 0
D14M2 14 9.85714285714286
D14M3 14 19.7142857142857
D14M4 14 29.5714285714286
D14M5 14 39.4285714285714
D14M6 14 49.2857142857143
D14M7 14 59.1428571428571
D14M8 14 69
D15M1 15 0
D15M2 15 10.125
D15M3 15 20.25
D15M4 15 30.375
D15M5 15 40.5
D15M6 15 50.625
D15M7 15 60.75
D15M8 15 70.875
D15M9 15 81
D16M1 16 0
D16M2 16 10.2857142857143
D16M3 16 20.5714285714286
D16M4 16 30.8571428571429
D16M5 16 41.1428571428571
D16M6 16 51.4285714285714
D16M7 16 61.7142857142857
D16M8 16 72
D17M1 17 0
D17M2 17 10.2
D17M3 17 20.4
D17M4 17 30.6
D17M5 17 40.8
D17M6 17 51
D17M7 17 61.2
D17M8 17 71.4
D17M9 17 81.6
D18M1 18 0
D18M2 18 10
D18M3 18 20
D18M4 18 30
D18M5 18 40
D18M6 18 50
D18M7 18 60
D19M1 19 0
D19M2 19 9.28333333333333
D19M3 19 18.5666666666667
D19M4 19 27.85
D19M5 19 37.1333333333333
D19M6 19 46.4166666666667
D19M7 19 55.7
DXM1 X 0
DXM2 X 9.65
DXM3 X 19.3
DXM4 X 28.95
DXM5 X 38.6
DXM6 X 48.25
DXM7 X 57.9
DXM8 X 67.55
DXM9 X 77.2
DXM10 X 86.85
DXM11 X 96.5
